;1;2;3;4;5;6;7;8
A;"Ec_topA;Glc:1.2;Ace:0;aTc:0";"Ec_topA;Glc:1.0;Ace:0;aTc:0";"Ec_topA;Glc:0.8;Ace:0;aTc:0";"Ec_topA;Glc:0.6;Ace:0;aTc:0";"Ec_topA;Glc:0.4;Ace:0;aTc:0";"Ec_topA;Glc:0.2;Ace:0;aTc:0";"Ec_topA;Glc:0;Ace:0;aTc:0";"blank;Glc:1.2;Ace:0;aTc:0"
B;"Ec_topA;Glc:1.2;Ace:0;aTc:0";"Ec_topA;Glc:1.0;Ace:0;aTc:0";"Ec_topA;Glc:0.8;Ace:0;aTc:0";"Ec_topA;Glc:0.6;Ace:0;aTc:0";"Ec_topA;Glc:0.4;Ace:0;aTc:0";"Ec_topA;Glc:0.2;Ace:0;aTc:0";"Ec_topA;Glc:0;Ace:0;aTc:0";"blank;Glc:1.2;Ace:0;aTc:0"
C;"Ec_topA;Glc:1.2;Ace:0;aTc:0";"Ec_topA;Glc:1.0;Ace:0;aTc:0";"Ec_topA;Glc:0.8;Ace:0;aTc:0";"Ec_topA;Glc:0.6;Ace:0;aTc:0";"Ec_topA;Glc:0.4;Ace:0;aTc:0";"Ec_topA;Glc:0.2;Ace:0;aTc:0";"Ec_topA;Glc:0;Ace:0;aTc:0";"blank;Glc:1.2;Ace:0;aTc:0"
D;"Ec_topA;Glc:0;Ace:1.2;aTc:0";"Ec_topA;Glc:0;Ace:1.0;aTc:0";"Ec_topA;Glc:0;Ace:0.8;aTc:0";"Ec_topA;Glc:0;Ace:0.6;aTc:0";"Ec_topA;Glc:0;Ace:0.4;aTc:0";"Ec_topA;Glc:0;Ace:0.2;aTc:0";"Ec_topA;Glc:0;Ace:0;aTc:0";"blank;Glc:1.2;Ace:0;aTc:0"
E;"Ec_topA;Glc:0;Ace:1.2;aTc:0";"Ec_topA;Glc:0;Ace:1.0;aTc:0";"Ec_topA;Glc:0;Ace:0.8;aTc:0";"Ec_topA;Glc:0;Ace:0.6;aTc:0";"Ec_topA;Glc:0;Ace:0.4;aTc:0";"Ec_topA;Glc:0;Ace:0.2;aTc:0";"Ec_topA;Glc:0;Ace:0;aTc:0";"blank;Glc:1.2;Ace:0;aTc:0"
F;"Ec_topA;Glc:0;Ace:1.2;aTc:0";"Ec_topA;Glc:0;Ace:1.0;aTc:0";"Ec_topA;Glc:0;Ace:0.8;aTc:0";"Ec_topA;Glc:0;Ace:0.6;aTc:0";"Ec_topA;Glc:0;Ace:0.4;aTc:0";"Ec_topA;Glc:0;Ace:0.2;aTc:0";"Ec_topA;Glc:0;Ace:0;aTc:0";"blank;Glc:0;Ace:1.2;aTc:0"
